1,1,1,pilot,0.0,1,TsPK-1
2,2,2,pilot,0.0,1,TsPK-1
3,3,3,pilot,0.0,1,NASA Astronaut Group 1
4,3,4,PSP,0.0,2,NASA Astronaut Group 2
5,4,5,Pilot,0.0,1,NASA- 1
6,5,6,pilot,0.0,1,TsPK-1
7,5,7,pilot,0.0,2,TsPK-2
8,6,8,pilot,0.0,1,TsPK-1
9,6,9,commander,0.0,2,TsPK-2
10,7,10,pilot,0.0,1,1959 NASA group 1
11,7,11,commander,0.0,2,1960 NASA group 1
12,7,12,commander,0.0,3,1961 NASA group 1
13,8,13,pilot,0.0,1,NASA- 1
14,8,14,commander,0.0,2,NASA- 1
15,9,15,pilot,0.0,1,TsPK-1
16,9,16,commander,0.0,2,TsPK-2
17,9,17,commander,0.0,3,TsPK-3
18,10,18,pilot,0.0,1,VVS Women
19,11,19,commander,0.0,1,TsPK-1
20,11,20,commander,0.0,2,TsPK-2
21,12,19,MSP,0.0,1,Voskhod-1 / TsKBEM-1
22,13,19,MSP,0.0,1,Voskhod-1
23,14,21,commander,0.0,1,TsPK-1
24,15,21,pilot,0.73,1,TsPK-1
25,15,22,commander,0.0,2,TsPK-2
26,16,23,commander,0.0,1,NASA Astronaut Group 2
27,17,23,pilot,0.0,1,1962 NASA group 2
28,17,24,pilot,0.0,2,1963 NASA group 2
29,17,25,pilot,0.0,3,1964 NASA group 2
30,17,26,commander,20.23,4,1965 NASA group 2
31,17,27,commander,0.0,5,1966 NASA group 2
32,17,28,commander,0.0,6,1967 NASA group 2
33,18,29,commander,0.0,1,NASA- 2
34,18,30,commander,0.0,2,NASA- 2
35,19,29,pilot,0.33,1,1962 NASA group 2
36,20,14,pilot,0.0,1,NASA- 2
37,20,31,commander,0.0,2,NASA- 2
38,20,32,commander,7.75,3,NASA- 2
39,20,33,commander,5.02,4,NASA- 2
40,21,34,commander,0.0,1,NASA- 2
41,21,35,commander,0.0,2,NASA- 2
42,22,34,pilot,0.0,1,NASA- 2
43,22,36,commander,0.0,2,NASA- 2
44,22,35,pilot,0.0,3,NASA- 2
45,22,37,commander,0.0,4,NASA- 2
46,23,38,pilot,0.0,1,1996 NASA group
47,23,39,commander,0.0,2,1996 NASA group
48,23,25,commander,0.0,3,1996 NASA group
49,23,40,commander,0.0,4,1996 NASA group
50,24,41,commander,0.0,1,"1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2"
51,24,42,commander,2.52,2,"1958 USAF Man in Space Soonest, 1960 USAF Dyna-Soar, NASA- 2"
52,25,41,pilot,0.0,1,1963 NASA group 3
53,25,30,pilot,1.13,2,1963 NASA group 3
54,25,43,commander,18.77,3,1963 NASA group 3
55,26,39,pilot,2.12,1,NASA- 3
56,26,25,pilot,0.0,2,NASA- 3
57,26,44,commander,22.13,3,NASA- 3
58,27,24,pilot,1.47,1,NASA- 3
59,27,42,pilot,0.0,2,NASA- 3
60,28,31,pilot,0.0,1,NASA Astronaut Group 3
61,28,32,pilot,2.68,2,NASA Astronaut Group 4
62,29,36,pilot,5.5,1,NASA- 3
63,29,42,pilot,2.5,2,NASA- 3
64,30,12,pilot,0.0,1,NASA- 3
65,31,12,pilot,0.0,1,NASA- 3
66,100,45,flight engineer,0.0,2,NPOE-4
67,100,46,flight engineer,0.0,3,NPOE-4
68,101,47,flight engineer,0.0,1,1978 Intercosmos Group
69,102,27,pilot,0.0,1,NASA- 7
70,102,48,commander,0.0,2,NASA- 7
71,102,49,commander,0.0,3,NASA- 7
72,102,50,commander,0.0,4,NASA- 7
73,103,51,MSP,0.0,1,1978 Intercosmos Group
74,104,52,commander,0.0,1,NASA- 5
75,104,53,commander,0.0,2,NASA- 5
76,105,52,pilot,0.0,1,1965 USAF MOL group 1
77,105,54,commander,0.0,2,1965 USAF MOL group 1
78,106,55,pilot,0.0,1,"USAF MOL Group 2 
 NASA- 7"
79,106,56,commander,0.0,2,"USAF MOL Group 2 
 NASA- 7"
80,107,45,commander,2.55,1,TsPK-5
81,108,45,MSP,0.0,1,CNES-1
82,108,57,MSP,5.95,2,CNES-1
83,108,58,MSP,0.0,3,CNES-1
84,109,59,pilot,0.0,1,NASA Astronaut Group 7
85,109,60,commander,0.0,2,NASA Astronaut Group 7
86,109,61,commander,0.0,3,NASA Astronaut Group 7
87,110,45,flight engineer,0.0,1,NPOE-4
88,32,62,commander,0.0,1,TsPK-2
89,33,35,pilot,0.0,1,NASA- 3
90,34,63,commander,0.0,1,TsPK-2
91,34,64,commander,0.0,2,TsPK-3
92,34,65,commander,0.0,3,TsPK-4
93,35,66,commander,0.0,1,TsPK-1
94,35,67,commander,0.0,2,TsPK-1
95,36,68,flight engineer,0.62,1,Korolyov-Group / Mishin-Group / TsKBEM-1
96,36,64,flight engineer,0.0,2,Korolyov-Group / Mishin-Group / TsKBEM-2
97,36,65,flight engineer,0.0,3,Korolyov-Group / Mishin-Group / TsKBEM-3
98,37,68,MSP,0.62,1,TsPK-1
99,38,69,pilot,1.13,1,1963 NASA group 3
100,39,70,commander,0.0,1,TsPK-1
101,40,70,flight engineer,0.0,1,Korolyov-Group / Mishin-Group / TsKBEM-1
102,40,22,flight engineer,0.0,2,Korolyov-Group / Mishin-Group / TsKBEM-2
103,40,71,commander,0.0,3,Korolyov-Group / Mishin-Group / TsKBEM-3
104,41,72,commander,0.0,1,TsPK-2
105,41,73,commander,0.0,2,TsPK-3
